Establishing 100 WCF channels
4/30/2018 8:40:45 PM count=337 tasks=1024
4/30/2018 8:40:46 PM count=2183 tasks=1024
4/30/2018 8:40:47 PM count=19284 tasks=950
4/30/2018 8:40:48 PM count=39737 tasks=885
4/30/2018 8:40:49 PM count=59911 tasks=855
4/30/2018 8:40:50 PM count=78785 tasks=1011
4/30/2018 8:40:51 PM count=96780 tasks=1024
4/30/2018 8:40:52 PM count=117013 tasks=1023
4/30/2018 8:40:53 PM count=137238 tasks=946
4/30/2018 8:40:54 PM count=156970 tasks=768
4/30/2018 8:40:55 PM count=176860 tasks=981
4/30/2018 8:40:56 PM count=196906 tasks=1024
4/30/2018 8:40:57 PM count=217166 tasks=775
4/30/2018 8:40:58 PM count=236418 tasks=1017
4/30/2018 8:40:59 PM count=256204 tasks=946
4/30/2018 8:41:00 PM count=275685 tasks=1024
4/30/2018 8:41:01 PM count=295511 tasks=1022
4/30/2018 8:41:02 PM count=315240 tasks=1024
4/30/2018 8:41:03 PM count=335866 tasks=1004
4/30/2018 8:41:04 PM count=355995 tasks=963
4/30/2018 8:41:05 PM count=375921 tasks=1005
Warmup finished. reset counter.
4/30/2018 8:41:06 PM count=19880 tasks=921
4/30/2018 8:41:07 PM count=39611 tasks=1020
4/30/2018 8:41:08 PM count=59336 tasks=1021
4/30/2018 8:41:09 PM count=79432 tasks=956
4/30/2018 8:41:10 PM count=98939 tasks=793
4/30/2018 8:41:11 PM count=117957 tasks=1014
4/30/2018 8:41:12 PM count=136187 tasks=918
4/30/2018 8:41:13 PM count=156316 tasks=1024
4/30/2018 8:41:14 PM count=175979 tasks=824
4/30/2018 8:41:15 PM count=196392 tasks=660
4/30/2018 8:41:16 PM count=216266 tasks=1024
4/30/2018 8:41:17 PM count=236672 tasks=825
4/30/2018 8:41:18 PM count=256992 tasks=746
4/30/2018 8:41:20 PM count=277434 tasks=1024
4/30/2018 8:41:21 PM count=296538 tasks=1022
4/30/2018 8:41:22 PM count=316089 tasks=947
